Principal Component 1:
    Feature: wd_nwak, Weight: 0.062238470309274374
    Feature: psqi_2, Weight: 0.06168758941165991
    Feature: Black, Weight: 0.058953715189685674
    Feature: isi_4, Weight: 0.05810175059931756
    Feature: psqi_5d, Weight: 0.05778856077350294
    Feature: >$200,000, Weight: 0.056504632092679606
    Feature: psqi_10, Weight: 0.055390449997737776
    Feature: psqi_9, Weight: 0.052803504691136184
    Feature: wd_tts, Weight: 0.05202088929162738
    Feature: subs_alc_23to02, Weight: 0.05023913516973526
    Feature: Multiracial, Weight: 0.0498415282584779
    Feature: Heterosexual, Weight: 0.04805867362267071
    Feature: brisc_1, Weight: 0.04654164264285188
    Feature: psqi_5g, Weight: 0.046381145580306316
    Feature: wd_bts, Weight: 0.04361877573179552
    Feature: Native, Weight: 0.043618182188856575
    Feature: msfsc1, Weight: 0.042818761389212125
    Feature: we_sq, Weight: 0.04272128695835074
    Feature: psqi_c5, Weight: 0.042109377853848676
    Feature: we_bts, Weight: 0.04143045453484994
    Feature: < $25,000, Weight: 0.03704906776025893
    Feature: sds_8, Weight: 0.034457335104383285
    Feature: isi_1, Weight: 0.034189012214457234
    Feature: psqi_c4, Weight: 0.0330320193414954
    Feature: we_tst, Weight: 0.032730998753203754
    Feature: subs_caff_14to17, Weight: 0.032413130277681355
    Feature: sds_7, Weight: 0.032399923194179635
    Feature: subs_caff_11to14, Weight: 0.03233448121866563
    Feature: psqi_6, Weight: 0.03222865898728623
    Feature: subs_can_23to02, Weight: 0.02897428898521318
    Feature: we_sol, Weight: 0.0285005050657825
    Feature: psqi_c6, Weight: 0.02842013693173797
    Feature: subs_caff_08to11, Weight: 0.028178477557259645
    Feature: sds_10, Weight: 0.028018221056282176
    Feature: Alcohol Never, Weight: 0.02719292428041453
    Feature: psqi_11a, Weight: 0.026428443841613733
    Feature: isi_2, Weight: 0.026202570412070872
    Feature: Alcohol Daily, Weight: 0.02491462600466244
    Feature: sds_1, Weight: 0.024909229707553174
    Feature: subs_caff_17to20, Weight: 0.02414579662311884
    Feature: sds_6, Weight: 0.02377362573059057
    Feature: brisc_3, Weight: 0.023771918636340088
    Feature: psqi_5c, Weight: 0.022789793447906992
    Feature: we_twt, Weight: 0.022741808629280554
    Feature: psqi_7, Weight: 0.022702004605037455
    Feature: we_se, Weight: 0.0223073238356017
    Feature: wake_decimal_time, Weight: 0.0223073238356017
    Feature: Cannabis Never, Weight: 0.021281337119791754
    Feature: isi_6, Weight: 0.021207475049123126
    Feature: psqi_11d, Weight: 0.020602000473074696
    Feature: subs_alc_20to23, Weight: 0.02044973629035162
    Feature: we_tob, Weight: 0.020369838854736387
    Feature: $50,000 - $100,000, Weight: 0.019888362614599073
    Feature: sds_5, Weight: 0.019619859439438652
    Feature: other_orientation, Weight: 0.019588255937843472
    Feature: subs_tob_02to05, Weight: 0.019463027682328705
    Feature: psqi_5j, Weight: 0.01876058444497328
    Feature: left_handed, Weight: 0.018731079940415753
    Feature: subs_caff_20to23, Weight: 0.018416575259550566
